purpose,priority
Перечисление за аренду оборудования 83127 (НПО «Вишняков-Пестова»),5
Срочный: Водный налог 98646,3
Оплата хостинга за Июль 57524 без НДС,5
"Перечисление за программное обеспечение 32724, ИНН 709734695541",5
Перечисление за аренду офиса 64574 без НДС,5
Перевод средств за работу без НДС Костин Лтд,1
"Срочный: Оплата услуг связи по договору 12312, ИНН 182050852335",5
Доплата по выставленному счету без НДС в том числе НДС,3
"Перечисление за аренду оборудования 45204, ИНН 508800045264",5
Перечисление по контракту ИНН 173633827768 КПП 972714504,5
"Срочный: Взыскание алиментов по исп. листу 48996 (ООО «Турова»), ИНН 802589810012",1
"ФСС: отчисления на травматизм 74936, ИНН 538387800291 (Транскапиталбанк)",3
Возврат по накладной неотложный платеж неотложный платеж,3
"Платежное поручение на налог на прибыль 35452, ИНН 736561931325",3
"Оплата услуг охраны 27052 (РАО «Алексеева, Панфилов и Сазонов») (Владимиров Инкорпорэйтед), ИНН 125821584669",5
Благотворительное пожертвование 29813 (основание: договор 368) от 13.07.2024,5
Перечисление за аренду оборудования 54082 от 29.05.2025,5
Оплата банковских услуг 41376 Бежевый с НДС от 31.01.2025,5
"Исполнительный лист №50005 о возмещении вреда здоровью, ИНН 981232451610",1
Оплата услуг охраны 63248 (основание: договор 484),5
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 85384 (ОАО «Денисов-Комарова») от 20.08.2024,1
Взыскание алиментов по исп. листу 84497 без НДС Светло-голубой,1
Срочный: Срочный: Взыскание алиментов по исп. листу 76756 (основание: договор 752),1
Оплата банковских услуг 68360 Ярко-розовый,5
Доплата по договору 37266 в том числе НДС,1
Платеж за уборку помещений 24595 (основание: договор 894),5
Срочный: Оплата услуг охраны 12434 с НДС (основание: договор 830),5
БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 9755 ОТ 15.08.2024 (ОСНОВАНИЕ: ДОГОВОР 640),5
Благотворительное пожертвование 20445 (основание: договор 822),5
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 2513 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (основание: договор 609),1
ОПЛАТА УСЛУГ ОХРАНЫ 94757 (основание: договор 787),5
Срочный: Оплата банковских услуг 10707 с НДС,5
Оплата услуг связи по договору 22028 (основание: договор 709),5
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 99771,5
Срочный: Перечисление за аренду оборудования 58279,5
"Платеж за поставку канцтоваров 63283, ИНН 905357970736 Слоновая кость Темно-оранжевый",5
Исполнительный лист номер 23848 о возмещении вреда здоровью Васильковый,1
"Водный налог 96757, ИНН 113809141073",3
Налог на имущество организаций 53903 (основание: договор 392),3
Срочный: Оплата хостинга за Июль 62258 Зеленый с НДС,5
Срочный: НАЛОГОВЫЙ ПЛАТЕЖ В БЮДЖЕТ РФ №83545,3
Оплата рекламных услуг 83773 (основание: договор 193),5
СРОЧНЫЙ: ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 91565 (НИКИФОРОВ И ПАРТНЕРЫ),5
Оплата банковских услуг 84675,5
Срочный: НДС за 2 квартал 2023 2978 (ОАО «Захаров Исаев»),3
НДС за 2 квартал 2023 37086 от 04.04.2025,3
ОПЛАТА КОМАНДИРОВОЧНЫХ РАСХОДОВ 16358,5
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 9125,1
"Платеж за поставку канцтоваров 66881, ИНН 277824730419 с НДС",5
Перечисление за аренду оборудования 72852 от 28.02.2025,5
Срочный: Срочный: Исполнительное производство 65642 о возмещении вреда здоровью,1
Оплата хостинга за Июль 1340 Светло-розовый от 06.11.2024,5
Платеж за поставку канцтоваров 70659 (основание: договор 126),5
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 94400 (основание: договор 371),1
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 82975 (основание: договор 393),5
"Платеж за юридические услуги 32016, ИНН 267939692277",5
Водный налог 81679 Индиго,3
"Возмещение ущерба здоровью по исп. листу 39810, ИНН 683511152578 Сине-фиолетовый",1
Перечисление средств по исп. документу 16140 о возмещении вреда жизни от 04.02.2025 (основание: договор 803) от 22.03.2025,1
Налоговый перечисление в бюджет РФ номер 8620 (ЗАО «Сорокина») Синий,3
"Медицинская компенсация по судебному решению 44709 с НДС от 11.01.2025 (НПО «Князева, Николаева и Абрамов»)",1
Оплата хостинга за Июль 60458 от 26.04.2025,5
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 34895,3
